ko_id	pathway	Kegg_pathwayI	Kegg_pathwayII	Kegg_pathwayIII
ko04935	hsa04935	Organismal Systems	Endocrine system	"Growth hormone synthesis, secretion and action"
ko04918	hsa04918	Organismal Systems	Endocrine system	Thyroid hormone synthesis
ko04919	hsa04919	Organismal Systems	Endocrine system	Thyroid hormone signaling pathway
ko04928	hsa04928	Organismal Systems	Endocrine system	"Parathyroid hormone synthesis, secretion and action"
ko04916	hsa04916	Organismal Systems	Endocrine system	Melanogenesis
ko04924	hsa04924	Organismal Systems	Endocrine system	Renin secretion
ko04614	hsa04614	Organismal Systems	Endocrine system	Renin-angiotensin system
ko04925	hsa04925	Organismal Systems	Endocrine system	Aldosterone synthesis and secretion
ko04927	hsa04927	Organismal Systems	Endocrine system	Cortisol synthesis and secretion
ko04260	hsa04260	Organismal Systems	Circulatory system	Cardiac muscle contraction
ko04261	hsa04261	Organismal Systems	Circulatory system	Adrenergic signaling in cardiomyocytes
ko04270	hsa04270	Organismal Systems	Circulatory system	Vascular smooth muscle contraction
ko04970	hsa04970	Organismal Systems	Digestive system	Salivary secretion
ko04971	hsa04971	Organismal Systems	Digestive system	Gastric acid secretion
ko04972	hsa04972	Organismal Systems	Digestive system	Pancreatic secretion
ko04976	hsa04976	Organismal Systems	Digestive system	Bile secretion
ko04973	hsa04973	Organismal Systems	Digestive system	Carbohydrate digestion and absorption
ko04974	hsa04974	Organismal Systems	Digestive system	Protein digestion and absorption
ko04975	hsa04975	Organismal Systems	Digestive system	Fat digestion and absorption
ko04979	hsa04979	Organismal Systems	Digestive system	Cholesterol metabolism
ko04977	hsa04977	Organismal Systems	Digestive system	Vitamin digestion and absorption
ko04978	hsa04978	Organismal Systems	Digestive system	Mineral absorption
ko04962	hsa04962	Organismal Systems	Excretory system	Vasopressin-regulated water reabsorption
ko04960	hsa04960	Organismal Systems	Excretory system	Aldosterone-regulated sodium reabsorption
ko04961	hsa04961	Organismal Systems	Excretory system	Endocrine and other factor-regulated calcium reabsorption
ko04964	hsa04964	Organismal Systems	Excretory system	Proximal tubule bicarbonate reclamation
ko04966	hsa04966	Organismal Systems	Excretory system	Collecting duct acid secretion
ko04724	hsa04724	Organismal Systems	Nervous system	Glutamatergic synapse
ko04727	hsa04727	Organismal Systems	Nervous system	GABAergic synapse
ko04725	hsa04725	Organismal Systems	Nervous system	Cholinergic synapse
ko04728	hsa04728	Organismal Systems	Nervous system	Dopaminergic synapse
ko04726	hsa04726	Organismal Systems	Nervous system	Serotonergic synapse
ko04720	hsa04720	Organismal Systems	Nervous system	Long-term potentiation
ko04730	hsa04730	Organismal Systems	Nervous system	Long-term depression
ko04723	hsa04723	Organismal Systems	Nervous system	Retrograde endocannabinoid signaling
ko04721	hsa04721	Organismal Systems	Nervous system	Synaptic vesicle cycle
ko04722	hsa04722	Organismal Systems	Nervous system	Neurotrophin signaling pathway
ko04744	hsa04744	Organismal Systems	Sensory system	Phototransduction
ko04745	dme04745	Organismal Systems	Sensory system	Phototransduction - fly
ko04740	hsa04740	Organismal Systems	Sensory system	Olfactory transduction
ko04742	hsa04742	Organismal Systems	Sensory system	Taste transduction
ko04750	hsa04750	Organismal Systems	Sensory system	Inflammatory mediator regulation of TRP channels
ko04320	dme04320	Organismal Systems	Development and regeneration	Dorso-ventral axis formation
ko04360	hsa04360	Organismal Systems	Development and regeneration	Axon guidance
ko04361	cel04361	Organismal Systems	Development and regeneration	Axon regeneration
ko04380	hsa04380	Organismal Systems	Development and regeneration	Osteoclast differentiation
ko04211	hsa04211	Organismal Systems	Aging	Longevity regulating pathway
ko04212	cel04212	Organismal Systems	Aging	Longevity regulating pathway - worm
ko04213	hsa04213	Organismal Systems	Aging	Longevity regulating pathway - multiple species
ko04710	hsa04710	Organismal Systems	Environmental adaptation	Circadian rhythm
ko04713	hsa04713	Organismal Systems	Environmental adaptation	Circadian entrainment
ko04711	dme04711	Organismal Systems	Environmental adaptation	Circadian rhythm - fly
ko04712	ath04712	Organismal Systems	Environmental adaptation	Circadian rhythm - plant
ko04714	hsa04714	Organismal Systems	Environmental adaptation	Thermogenesis
ko04626	ath04626	Organismal Systems	Environmental adaptation	Plant-pathogen interaction
ko05200	hsa05200	Human Diseases	Cancer: overview	Pathways in cancer
ko05202	hsa05202	Human Diseases	Cancer: overview	Transcriptional misregulation in cancer
ko05206	hsa05206	Human Diseases	Cancer: overview	MicroRNAs in cancer
ko05205	hsa05205	Human Diseases	Cancer: overview	Proteoglycans in cancer
ko05204	hsa05204	Human Diseases	Cancer: overview	Chemical carcinogenesis - DNA adducts
ko05207	hsa05207	Human Diseases	Cancer: overview	Chemical carcinogenesis - receptor activation
ko05208	hsa05208	Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species
ko05230	hsa05230	Human Diseases	Cancer: overview	Central carbon metabolism in cancer
ko05231	hsa05231	Human Diseases	Cancer: overview	Choline metabolism in cancer
ko05235	hsa05235	Human Diseases	Cancer: overview	PD-L1 expression and PD-1 checkpoint pathway in cancer
ko05210	hsa05210	Human Diseases	Cancer: specific types	Colorectal cancer
ko05212	hsa05212	Human Diseases	Cancer: specific types	Pancreatic cancer
ko05225	hsa05225	Human Diseases	Cancer: specific types	Hepatocellular carcinoma
ko05226	hsa05226	Human Diseases	Cancer: specific types	Gastric cancer
ko05214	hsa05214	Human Diseases	Cancer: specific types	Glioma
ko05216	hsa05216	Human Diseases	Cancer: specific types	Thyroid cancer
ko05221	hsa05221	Human Diseases	Cancer: specific types	Acute myeloid leukemia
ko05220	hsa05220	Human Diseases	Cancer: specific types	Chronic myeloid leukemia
ko05217	hsa05217	Human Diseases	Cancer: specific types	Basal cell carcinoma
ko05218	hsa05218	Human Diseases	Cancer: specific types	Melanoma
ko05211	hsa05211	Human Diseases	Cancer: specific types	Renal cell carcinoma
ko05219	hsa05219	Human Diseases	Cancer: specific types	Bladder cancer
ko05215	hsa05215	Human Diseases	Cancer: specific types	Prostate cancer
ko05213	hsa05213	Human Diseases	Cancer: specific types	Endometrial cancer
ko05224	hsa05224	Human Diseases	Cancer: specific types	Breast cancer
ko05222	hsa05222	Human Diseases	Cancer: specific types	Small cell lung cancer
ko05223	hsa05223	Human Diseases	Cancer: specific types	Non-small cell lung cancer
ko05166	-	Human Diseases	Infectious disease: viral	Human T-cell leukemia virus 1 infection
ko05170	-	Human Diseases	Infectious disease: viral	Human immunodeficiency virus 1 infection
ko05161	-	Human Diseases	Infectious disease: viral	Hepatitis B
ko05160	-	Human Diseases	Infectious disease: viral	Hepatitis C
ko05171	-	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19
ko05164	-	Human Diseases	Infectious disease: viral	Influenza A
ko05162	-	Human Diseases	Infectious disease: viral	Measles
ko05168	-	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection
ko05163	-	Human Diseases	Infectious disease: viral	Human cytomegalovirus infection
ko05167	-	Human Diseases	Infectious disease: viral	Kaposi sarcoma-associated herpesvirus infection
ko05169	-	Human Diseases	Infectious disease: viral	Epstein-Barr virus infection
ko05165	-	Human Diseases	Infectious disease: viral	Human papillomavirus infection
ko05110	-	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection
ko05120	-	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection
ko05130	-	Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection
ko05132	-	Human Diseases	Infectious disease: bacterial	Salmonella infection
ko05131	-	Human Diseases	Infectious disease: bacterial	Shigellosis
ko05135	-	Human Diseases	Infectious disease: bacterial	Yersinia infection
ko05133	-	Human Diseases	Infectious disease: bacterial	Pertussis
ko05134	-	Human Diseases	Infectious disease: bacterial	Legionellosis
ko05150	-	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection
ko05152	-	Human Diseases	Infectious disease: bacterial	Tuberculosis
ko05100	-	Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells
ko05146	-	Human Diseases	Infectious disease: parasitic	Amoebiasis
ko05144	-	Human Diseases	Infectious disease: parasitic	Malaria
ko05145	-	Human Diseases	Infectious disease: parasitic	Toxoplasmosis
ko05140	-	Human Diseases	Infectious disease: parasitic	Leishmaniasis
ko05142	-	Human Diseases	Infectious disease: parasitic	Chagas disease
ko05143	-	Human Diseases	Infectious disease: parasitic	African trypanosomiasis
ko05310	hsa05310	Human Diseases	Immune disease	Asthma
ko05322	hsa05322	Human Diseases	Immune disease	Systemic lupus erythematosus
ko05323	hsa05323	Human Diseases	Immune disease	Rheumatoid arthritis
ko05320	hsa05320	Human Diseases	Immune disease	Autoimmune thyroid disease
ko05321	hsa05321	Human Diseases	Immune disease	Inflammatory bowel disease
ko05330	hsa05330	Human Diseases	Immune disease	Allograft rejection
ko05332	hsa05332	Human Diseases	Immune disease	Graft-versus-host disease
ko05340	hsa05340	Human Diseases	Immune disease	Primary immunodeficiency
ko05010	hsa05010	Human Diseases	Neurodegenerative disease	Alzheimer disease
ko05012	hsa05012	Human Diseases	Neurodegenerative disease	Parkinson disease
ko05014	hsa05014	Human Diseases	Neurodegenerative disease	Amyotrophic lateral sclerosis
ko05016	hsa05016	Human Diseases	Neurodegenerative disease	Huntington disease
ko05017	hsa05017	Human Diseases	Neurodegenerative disease	Spinocerebellar ataxia
ko05020	hsa05020	Human Diseases	Neurodegenerative disease	Prion disease
ko05022	hsa05022	Human Diseases	Neurodegenerative disease	Pathways of neurodegeneration - multiple diseases
ko05030	hsa05030	Human Diseases	Substance dependence	Cocaine addiction
ko05031	hsa05031	Human Diseases	Substance dependence	Amphetamine addiction
ko05032	hsa05032	Human Diseases	Substance dependence	Morphine addiction
ko05033	hsa05033	Human Diseases	Substance dependence	Nicotine addiction
ko05034	hsa05034	Human Diseases	Substance dependence	Alcoholism
ko05417	hsa05417	Human Diseases	Cardiovascular disease	Lipid and atherosclerosis
ko05418	hsa05418	Human Diseases	Cardiovascular disease	Fluid shear stress and atherosclerosis
ko05410	hsa05410	Human Diseases	Cardiovascular disease	Hypertrophic cardiomyopathy
ko05412	hsa05412	Human Diseases	Cardiovascular disease	Arrhythmogenic right ventricular cardiomyopathy
ko05414	hsa05414	Human Diseases	Cardiovascular disease	Dilated cardiomyopathy
ko05415	hsa05415	Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy
ko05416	hsa05416	Human Diseases	Cardiovascular disease	Viral myocarditis
ko04930	hsa04930	Human Diseases	Endocrine and metabolic disease	Type II diabetes mellitus
ko04940	hsa04940	Human Diseases	Endocrine and metabolic disease	Type I diabetes mellitus
ko04950	hsa04950	Human Diseases	Endocrine and metabolic disease	Maturity onset diabetes of the young
ko04936	hsa04936	Human Diseases	Endocrine and metabolic disease	Alcoholic liver disease
ko04932	hsa04932	Human Diseases	Endocrine and metabolic disease	Non-alcoholic fatty liver disease
ko04931	hsa04931	Human Diseases	Endocrine and metabolic disease	Insulin resistance
ko04933	hsa04933	Human Diseases	Endocrine and metabolic disease	AGE-RAGE signaling pathway in diabetic complications
ko04934	hsa04934	Human Diseases	Endocrine and metabolic disease	Cushing syndrome
ko01501	map01501	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance
ko01502	map01502	Human Diseases	Drug resistance: antimicrobial	Vancomycin resistance
ko01503	map01503	Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance
ko01521	hsa01521	Human Diseases	Drug resistance: antineoplastic	EGFR tyrosine kinase inhibitor resistance
ko01524	hsa01524	Human Diseases	Drug resistance: antineoplastic	Platinum drug resistance
ko01523	hsa01523	Human Diseases	Drug resistance: antineoplastic	Antifolate resistance
ko01522	hsa01522	Human Diseases	Drug resistance: antineoplastic	Endocrine resistance
ko07011	map07011	Drug Development	Chronology: Antiinfectives	Penicillins
ko07012	map07012	Drug Development	Chronology: Antiinfectives	Cephalosporins - parenteral agents
ko07013	map07013	Drug Development	Chronology: Antiinfectives	Cephalosporins - oral agents
ko07021	map07021	Drug Development	Chronology: Antiinfectives	Aminoglycosides
ko07019	map07019	Drug Development	Chronology: Antiinfectives	Tetracyclines
ko07020	map07020	Drug Development	Chronology: Antiinfectives	Macrolides and ketolides
ko07014	map07014	Drug Development	Chronology: Antiinfectives	Quinolones
ko07023	map07023	Drug Development	Chronology: Antiinfectives	Rifamycins
ko07026	map07026	Drug Development	Chronology: Antiinfectives	Antifungal agents
ko07044	map07044	Drug Development	Chronology: Antiinfectives	Antiviral agents
ko07053	map07053	Drug Development	Chronology: Antiinfectives	Anti-HIV agents
ko07040	map07040	Drug Development	Chronology: Antineoplastics	Antineoplastics - alkylating agents
ko07041	map07041	Drug Development	Chronology: Antineoplastics	Antineoplastics - antimetabolic agents
ko07042	map07042	Drug Development	Chronology: Antineoplastics	Antineoplastics - agents from natural products
ko07043	map07043	Drug Development	Chronology: Antineoplastics	Antineoplastics - hormones
ko07045	map07045	Drug Development	Chronology: Antineoplastics	Antineoplastics - protein kinase inhibitors
ko07032	map07032	Drug Development	Chronology: Nervous system agents	Hypnotics
ko07030	map07030	Drug Development	Chronology: Nervous system agents	Anxiolytics
ko07033	map07033	Drug Development	Chronology: Nervous system agents	Anticonvulsants
ko07015	map07015	Drug Development	Chronology: Nervous system agents	Local analgesics
ko07039	map07039	Drug Development	Chronology: Nervous system agents	Opioid analgesics
ko07028	map07028	Drug Development	Chronology: Nervous system agents	Antipsychotics
ko07029	map07029	Drug Development	Chronology: Nervous system agents	Antipsychotics - phenothiazines
ko07031	map07031	Drug Development	Chronology: Nervous system agents	Antipsychotics - butyrophenones
ko07027	map07027	Drug Development	Chronology: Nervous system agents	Antidepressants
ko07056	map07056	Drug Development	Chronology: Nervous system agents	Agents for Alzheimer-type dementia
ko07057	map07057	Drug Development	Chronology: Nervous system agents	Antiparkinsonian agents
ko07055	map07055	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - overview
ko07016	map07016	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - sulfa drugs
ko07017	map07017	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - diuretics
ko07018	map07018	Drug Development	Chronology: Other drugs	Sulfonamide derivatives - hypoglycemic agents
ko07037	map07037	Drug Development	Chronology: Other drugs	Antiarrhythmic drugs
ko07038	map07038	Drug Development	Chronology: Other drugs	Antiulcer drugs
ko07046	map07046	Drug Development	Chronology: Other drugs	Immunosuppressive agents
ko07047	map07047	Drug Development	Chronology: Other drugs	Osteoporosis drugs
ko07048	map07048	Drug Development	Chronology: Other drugs	Antimigraines
ko07049	map07049	Drug Development	Chronology: Other drugs	Antithrombosis agents
ko07050	map07050	Drug Development	Chronology: Other drugs	Antirheumatics - DMARDs and biological agents
ko07051	map07051	Drug Development	Chronology: Other drugs	Antidiabetics
ko07052	map07052	Drug Development	Chronology: Other drugs	Antidyslipidemic agents
ko07054	map07054	Drug Development	Chronology: Other drugs	Antiglaucoma agents
ko07220	map07220	Drug Development	Target-based classification: G protein-coupled receptors	Cholinergic and anticholinergic drugs
ko07215	map07215	Drug Development	Target-based classification: G protein-coupled receptors	alpha-Adrenergic receptor agonists/antagonists
ko07214	map07214	Drug Development	Target-based classification: G protein-coupled receptors	beta-Adrenergic receptor agonists/antagonists
ko07213	map07213	Drug Development	Target-based classification: G protein-coupled receptors	Dopamine receptor agonists/antagonists
ko07212	map07212	Drug Development	Target-based classification: G protein-coupled receptors	Histamine H1 receptor antagonists
ko07227	map07227	Drug Development	Target-based classification: G protein-coupled receptors	Histamine H2/H3 receptor agonists/antagonists
ko07211	map07211	Drug Development	Target-based classification: G protein-coupled receptors	Serotonin receptor agonists/antagonists
ko07228	map07228	Drug Development	Target-based classification: G protein-coupled receptors	Eicosanoid receptor agonists/antagonists
ko07224	map07224	Drug Development	Target-based classification: G protein-coupled receptors	Opioid receptor agonists/antagonists
ko07229	map07229	Drug Development	Target-based classification: G protein-coupled receptors	Angiotensin receptor and endothelin receptor antagonists
ko07225	map07225	Drug Development	Target-based classification: Nuclear receptors	Glucocorticoid and mineralocorticoid receptor agonists/antagonists
ko07226	map07226	Drug Development	Target-based classification: Nuclear receptors	"Progesterone, androgen and estrogen receptor agonists/antagonists"
ko07223	map07223	Drug Development	Target-based classification: Nuclear receptors	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists
ko07222	map07222	Drug Development	Target-based classification: Nuclear receptors	Peroxisome proliferator-activated receptor (PPAR) agonists
ko07221	map07221	Drug Development	Target-based classification: Ion channels	Nicotinic cholinergic receptor antagonists
ko07230	map07230	Drug Development	Target-based classification: Ion channels	GABA-A receptor agonists/antagonists
ko07036	map07036	Drug Development	Target-based classification: Ion channels	Calcium channel blocking drugs
ko07231	map07231	Drug Development	Target-based classification: Ion channels	Sodium channel blocking drugs
ko07232	map07232	Drug Development	Target-based classification: Ion channels	Potassium channel blocking and opening drugs
ko07235	map07235	Drug Development	Target-based classification: Ion channels	N-Methyl-D-aspartic acid (NMDA) receptor antagonists
ko07233	map07233	Drug Development	Target-based classification: Transporters	Ion transporter inhibitors
ko07234	map07234	Drug Development	Target-based classification: Transporters	Neurotransmitter transporter inhibitors
ko07216	map07216	Drug Development	Target-based classification: Enzymes	Catecholamine transferase inhibitors
ko07219	map07219	Drug Development	Target-based classification: Enzymes	Cyclooxygenase inhibitors
ko07024	map07024	Drug Development	Target-based classification: Enzymes	HMG-CoA reductase inhibitors
ko07217	map07217	Drug Development	Target-based classification: Enzymes	Renin-angiotensin system inhibitors
ko07218	map07218	Drug Development	Target-based classification: Enzymes	HIV protease inhibitors
ko07025	map07025	Drug Development	Structure-based classification	Quinolines
ko07034	map07034	Drug Development	Structure-based classification	Eicosanoids
ko07035	map07035	Drug Development	Structure-based classification	Prostaglandins
ko07110	map07110	Drug Development	Skeleton-based classification	Benzoic acid family
ko07112	map07112	Drug Development	Skeleton-based classification	"1,2-Diphenyl substitution family"
ko07114	map07114	Drug Development	Skeleton-based classification	Naphthalene family
ko07117	map07117	Drug Development	Skeleton-based classification	Benzodiazepine family
